,Site,h,v,line,samp,landcover,BioType,BiomeTypeMark
0,BART,12,4,1424.16,2105.61,"[[6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]]",Forest,1
1,BLAN,11,5,225.04,2250.38,"[[4 4 4 4 4 4]
 [4 4 4 4 4 4]
 [4 4 4 4 4 4]
 [1 3 3 3 4 4]
 [3 3 3 4 4 4]
 [3 4 4 4 1 3]]",Crops & Savannas,3
2,CPER,10,4,2203.77,173.89,"[[1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]]",Crops,2
3,DSNY,10,6,449.49,1962.62,"[[4 4 4 4 4 4]
 [4 4 4 4 4 4]
 [4 4 4 4 4 4]
 [4 1 4 4 4 4]
 [4 4 4 4 4 4]
 [4 4 1 4 4 4]]","
Crops & Savannas
",3
4,DELA,10,5,1789.49,1435.02,"[[6 6 4 4 6 6]
 [6 4 6 6 4 6]
 [6 6 6 6 4 4]
 [6 6 6 6 4 4]
 [6 6 6 6 4 4]
 [6 6 4 4 4 4]]","
Forest & Savannas
",4
5,GUAN,11,7,486.81,1533.85,"[[10  4  4  4  4  4]
 [ 4  4  4  4  4  4]
 [ 4  4  4  4  4  4]
 [ 4  4  4  4  4  4]
 [ 4  4  4  4  4  4]
 [ 4  1  1  1  1  4]]","
Crops & Savannas
",3
6,HARV,12,4,1790.43,1636.72,"[[6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]]","
Forest
",1
7,JERC,10,5,2112.74,1858.18,"[[1 4 4 4 4 4]
 [4 4 4 4 4 4]
 [4 4 4 4 4 4]
 [4 4 4 4 4 4]
 [4 4 4 4 4 4]
 [4 4 4 4 4 4]]","
Crops & Savannas
",3
8,JORN,8,5,1777.73,2394.9,"[[2 2 2 2 2 2]
 [2 2 2 2 2 2]
 [2 2 2 2 1 1]
 [2 2 2 1 1 1]
 [2 2 2 2 2 2]
 [2 2 2 1 2 2]]","
Crops
",2
9,KONA,10,5,212.99,1207.9,"[[1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]]","
Crops
",2
10,LAJA,11,7,474.4,1490.8,"[[3 3 3 4 4 3]
 [3 3 3 3 4 3]
 [4 3 3 3 3 3]
 [4 3 3 3 3 3]
 [4 3 3 3 3 3]
 [3 3 3 3 3 3]]","
Crops & Savannas
",3
11,MOAB,9,5,419.89,981.96,"[[1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]]","
Crops
",2
12,NIWO,9,4,2386.47,2203.54,"[[1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [4 4 4 4 4 4]]","
Crops & Savannas
",3
13,ONAQ,9,4,2356.88,978.91,"[[1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]]","
Crops
",2
14,ORNL,11,5,968.11,427.4,"[[6 6 6 4 1 4]
 [6 4 4 4 6 6]
 [4 4 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]]","
Forest & Savannas
",4
15,OSBS,10,6,77.22,2099.01,"[[5 5 4 4 4 4]
 [4 4 4 4 4 4]
 [4 4 4 4 4 4]
 [4 4 4 4 0 0]
 [4 0 4 4 0 4]
 [4 4 4 4 4 4]]","
Forest & Savannas
",4
16,SCBI,11,5,265.2,2203.28,"[[6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]]","
Forest
",1
17,SERC,12,5,265.86,97.75,"[[4 4 4 4 4 4]
 [4 4 4 6 6 6]
 [4 4 6 6 6 4]
 [4 4 6 6 4 4]
 [4 6 6 6 6 4]
 [6 6 6 6 0 0]]","
Forest & Savannas
",4
18,STEI,11,4,1077.35,1731.83,"[[6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 4 4]
 [6 6 6 4 4 4]
 [6 6 4 4 4 6]
 [6 4 4 4 6 6]]","
Forest & Savannas
",4
19,STER,10,4,2288.63,386.25,"[[1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]]","
Crops
",2
20,SRER,8,5,1940.94,1419.03,"[[2 2 2 2 2 2]
 [2 2 2 2 2 2]
 [2 2 2 2 2 2]
 [2 2 2 2 2 2]
 [2 2 2 2 2 2]
 [2 2 2 2 2 2]]","
Crops
",2
21,TALL,10,5,1691.39,1599.03,"[[6 6 6 6 6 6]
 [6 6 7 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]]","
Forest
",1
22,UNDE,11,4,903.35,1935.23,"[[6 6 6 8 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 6 6 6 6 6]
 [6 4 6 6 4 4]]","
Forest & Savannas
",4
23,WOOD,11,4,688.72,594.74,"[[1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]
 [1 1 1 1 1 1]]","
Crops
",2